time	EURUSD	GBPUSD	NZDUSD
2015-01-02	1.19997	1.5324200000000001	0.76876
2015-01-05	1.18642	1.51642	0.76174
2015-01-06	1.18836	1.51404	0.7677
2015-01-07	1.18014	1.50543	0.77123
2015-01-08	1.17536	1.50336	0.77608
2015-01-09	1.1762299999999999	1.5076399999999999	0.77879
2015-01-12	1.17856	1.50982	0.77358
2015-01-13	1.17529	1.50769	0.77109
2015-01-14	1.17267	1.51443	0.76886
2015-01-15	1.15673	1.51494	0.76953
2015-01-16	1.14594	1.50745	0.77455
2015-01-19	1.15495	1.51065	0.77676
2015-01-20	1.15397	1.5057	0.76209
2015-01-21	1.15406	1.50751	0.75482
2015-01-22	1.13156	1.49714	0.74786
2015-01-23	1.11142	1.49503	0.74301
2015-01-26	1.1097	1.49858	0.73964
2015-01-27	1.1223	1.5059	0.74067
2015-01-28	1.12757	1.51302	0.73125
2015-01-29	1.12612	1.50176	0.72318
2015-01-30	1.1277	1.49882	0.72138
2015-02-02	1.12918	1.50048	0.72408
2015-02-03	1.13122	1.49878	0.71754
2015-02-04	1.13154	1.51382	0.72874
2015-02-05	1.13035	1.51642	0.73408
2015-02-06	1.1309	1.52103	0.73322
2015-02-09	1.12698	1.52	0.73402
2015-02-10	1.12726	1.51959	0.73834
2015-02-11	1.12794	1.52184	0.73508
2015-02-12	1.13016	1.52088	0.73131
2015-02-13	1.13792	1.53705	0.74112
2015-02-16	1.13191	1.5338500000000002	0.74693
2015-02-17	1.13217	1.53156	0.74812
2015-02-18	1.13335	1.5341	0.75015
2015-02-19	1.1355	1.54039	0.75063
2015-02-20	1.12788	1.5343	0.75118
2015-02-23	1.12947	1.53321	0.74867
2015-02-24	1.12888	1.54016	0.74211
2015-02-25	1.13353	1.5446499999999999	0.74741
2015-02-26	1.11834	1.5394	0.75155
2015-02-27	1.11758	1.5384	0.75141
2015-03-02	1.11597	1.53513	0.75027
2015-03-03	1.11545	1.53442	0.75011
2015-03-04	1.10615	1.52515	0.75416
2015-03-05	1.09874	1.52148	0.74533
2015-03-06	1.0838700000000001	1.5031400000000001	0.73567
2015-03-09	1.08227	1.50324	0.7322
2015-03-10	1.06676	1.50284	0.72531
2015-03-11	1.05108	1.48928	0.71876
2015-03-12	1.04943	1.48495	0.72727
2015-03-13	1.04619	1.46988	0.7312
2015-03-16	1.04712	1.47319	0.7316
2015-03-17	1.0551	1.4723600000000001	0.72993
2015-03-18	1.05797	1.46347	0.72744
2015-03-19	1.06125	1.46876	0.73717
2015-03-20	1.06491	1.47215	0.74005
2015-03-23	1.07667	1.48377	0.75478
2015-03-24	1.08897	1.48411	0.76113
2015-03-25	1.09002	1.48303	0.75858
2015-03-26	1.08555	1.48062	0.75546
2015-03-27	1.08007	1.47959	0.75424
2015-03-30	1.08095	1.47526	0.74858
2015-03-31	1.07123	1.47545	0.74554
2015-04-01	1.0718	1.4739	0.73904
2015-04-02	1.07497	1.47756	0.74238
2015-04-03	1.08632	1.48095	0.74957
2015-04-06	1.0909	1.48696	0.75169
2015-04-07	1.08029	1.48021	0.74858
2015-04-08	1.07627	1.48065	0.74831
2015-04-09	1.06372	1.46841	0.75256
2015-04-10	1.05674	1.45865	0.75133
2015-04-13	1.05202	1.4565000000000001	0.74213
2015-04-14	1.05311	1.46029	0.74376
2015-04-15	1.05705	1.47004	0.74863
2015-04-16	1.06246	1.48114	0.75778
2015-04-17	1.07338	1.49154	0.76447
2015-04-20	1.0712	1.4887299999999999	0.76417
2015-04-21	1.0659399999999999	1.48557	0.76338
2015-04-22	1.07079	1.49127	0.76564
2015-04-23	1.0665499999999999	1.49593	0.75358
2015-04-24	1.07842	1.50268	0.75422
2015-04-27	1.08191	1.51065	0.75805
2015-04-28	1.08595	1.51719	0.76157
2015-04-29	1.09591	1.53274	0.76705
2015-04-30	1.10708	1.53033	0.75743
2015-05-01	1.11742	1.5114100000000001	0.7506
2015-05-04	1.11224	1.5089700000000001	0.75072
2015-05-05	1.10662	1.50892	0.74896
2015-05-06	1.11747	1.51498	0.74591
2015-05-07	1.12371	1.51635	0.74248
2015-05-08	1.11789	1.53542	0.7421
2015-05-11	1.11305	1.53925	0.73315
2015-05-12	1.11337	1.55565	0.73276
2015-05-13	1.12019	1.56333	0.7317
2015-05-14	1.13402	1.57283	0.74746
2015-05-15	1.13233	1.57005	0.74285
2015-05-18	1.12979	1.56372	0.73695
2015-05-19	1.11184	1.54451	0.73355
2015-05-20	1.10616	1.54718	0.72803
2015-05-21	1.1078999999999999	1.55241	0.72909
2015-05-22	1.10016	1.54595	0.72955
2015-05-25	1.09584	1.54555	0.7291
2015-05-26	1.08626	1.53532	0.72199
2015-05-27	1.08185	1.53006	0.72107
2015-05-28	1.0867	1.52596	0.71271
2015-05-29	1.09251	1.52356	0.70798
2015-06-01	1.08865	1.51695	0.70809
2015-06-02	1.09152	1.5178500000000001	0.70841
2015-06-03	1.10793	1.52514	0.71169
2015-06-04	1.12219	1.53036	0.71029
2015-06-05	1.10489	1.51897	0.70241
2015-06-08	1.10837	1.52207	0.70393
2015-06-09	1.12136	1.5256699999999999	0.70862
2015-06-10	1.12599	1.53682	0.71064
2015-06-11	1.11816	1.5420099999999999	0.69652
