time	EURUSD	GBPUSD	NZDUSD
2015-01-02	1.20999	1.55763	0.77964
2015-01-05	1.19026	1.52069	0.76759
2015-01-06	1.193	1.52505	0.76842
2015-01-07	1.18889	1.51481	0.77578
2015-01-08	1.18373	1.51101	0.77767
2015-01-09	1.17909	1.5085899999999999	0.78227
2015-01-12	1.18526	1.5171700000000001	0.78454
2015-01-13	1.18319	1.5172400000000001	0.77816
2015-01-14	1.17685	1.51555	0.7737
2015-01-15	1.17868	1.52325	0.77179
2015-01-16	1.16303	1.51783	0.78221
2015-01-19	1.15495	1.5118	0.77796
2015-01-20	1.16013	1.5106600000000001	0.77763
2015-01-21	1.15524	1.51411	0.76371
2015-01-22	1.16087	1.51391	0.75544
2015-01-23	1.13533	1.50073	0.7501
2015-01-26	1.11525	1.50074	0.74295
2015-01-27	1.12406	1.50702	0.74246
2015-01-28	1.13748	1.51945	0.74572
2015-01-29	1.12836	1.5144	0.73191
2015-01-30	1.13187	1.50659	0.72614
2015-02-02	1.13072	1.50746	0.72467
2015-02-03	1.13399	1.5021	0.72967
2015-02-04	1.14771	1.5165199999999999	0.73458
2015-02-05	1.1343	1.51793	0.73675
2015-02-06	1.14763	1.53268	0.73825
2015-02-09	1.12999	1.52245	0.73446
2015-02-10	1.13238	1.52148	0.7407
2015-02-11	1.1317	1.52503	0.73971
2015-02-12	1.13438	1.52367	0.73578
2015-02-13	1.14019	1.5384600000000002	0.74233
2015-02-16	1.13955	1.54141	0.74779
2015-02-17	1.13517	1.53599	0.75001
2015-02-18	1.141	1.53488	0.75405
2015-02-19	1.13955	1.5436800000000002	0.75448
2015-02-20	1.1365	1.5412	0.75148
2015-02-23	1.1394	1.53973	0.75242
2015-02-24	1.13367	1.5454400000000001	0.75239
2015-02-25	1.13398	1.5447899999999999	0.74904
2015-02-26	1.13605	1.55247	0.75554
2015-02-27	1.11993	1.54082	0.75304
2015-03-02	1.11793	1.54227	0.75523
2015-03-03	1.11836	1.53624	0.75103
2015-03-04	1.11737	1.53623	0.75448
2015-03-05	1.10773	1.52625	0.75869
2015-03-06	1.10296	1.52396	0.74846
2015-03-09	1.0827	1.5033400000000001	0.73592
2015-03-10	1.08513	1.51277	0.7355
2015-03-11	1.0694	1.50661	0.72707
2015-03-12	1.05472	1.49302	0.72894
2015-03-13	1.06325	1.48819	0.73875
2015-03-16	1.04712	1.47319	0.7316
2015-03-17	1.05676	1.48267	0.73664
2015-03-18	1.05885	1.47454	0.73053
2015-03-19	1.08644	1.49818	0.74811
2015-03-20	1.06558	1.4752100000000001	0.74068
2015-03-23	1.08331	1.49653	0.75716
2015-03-24	1.09472	1.49538	0.76518
2015-03-25	1.09177	1.48479	0.76528
2015-03-26	1.0968	1.48779	0.76058
2015-03-27	1.08788	1.48465	0.75973
2015-03-30	1.08847	1.48874	0.75545
2015-03-31	1.08298	1.47996	0.74949
2015-04-01	1.07353	1.48228	0.74639
