time	EURUSD	GBPUSD	NZDUSD
2015-01-02	94829	129124	83756
2015-01-05	157755	182320	125357
2015-01-06	150642	184090	137649
2015-01-07	163155	192175	132175
2015-01-08	137265	156443	118255
2015-01-09	150446	176430	124105
2015-01-12	134876	157983	117763
2015-01-13	157160	191969	138339
2015-01-14	169789	201749	151788
2015-01-15	214246	223479	172682
2015-01-16	204254	217304	125200
2015-01-19	100380	108690	76211
2015-01-20	89976	102426	84142
2015-01-21	105894	121012	104859
2015-01-22	125294	136331	104484
2015-01-23	137712	139665	102384
2015-01-26	112856	115012	80177
2015-01-27	127278	142838	91680
2015-01-28	134188	154789	109271
2015-01-29	105722	115543	92365
2015-01-30	102181	112833	75852
2015-02-02	114150	134117	92972
2015-02-03	138325	150653	134632
2015-02-04	127965	138033	118738
2015-02-05	135710	148491	109730
2015-02-06	122037	130407	100535
2015-02-09	115561	134092	98390
2015-02-10	124772	137198	103095
2015-02-11	116739	130304	97318
2015-02-12	132497	149120	121094
2015-02-13	113445	136131	92661
2015-02-16	89828	127244	102444
2015-02-17	125548	135940	114612
2015-02-18	114638	146607	108721
2015-02-19	104413	132168	103931
2015-02-20	129049	147626	105774
2015-02-23	97273	119661	99969
2015-02-24	111944	130795	116141
2015-02-25	107447	128464	111500
2015-02-26	116659	141808	112924
2015-02-27	122896	140864	105229
2015-03-02	97628	119972	86719
2015-03-03	104171	118093	91691
2015-03-04	109789	128973	93618
2015-03-05	123965	134887	98902
2015-03-06	124396	138098	99334
2015-03-09	108685	129683	86349
2015-03-10	152978	170314	129879
2015-03-11	167183	192368	131787
2015-03-12	169738	174202	133720
2015-03-13	152603	164842	103859
2015-03-16	141253	153414	100815
2015-03-17	126771	154686	102039
2015-03-18	156159	181840	119088
2015-03-19	194151	204875	143951
2015-03-20	152470	178933	116812
2015-03-23	169160	186010	134455
2015-03-24	152187	180166	125282
2015-03-25	132659	154974	109130
2015-03-26	160736	175008	139096
2015-03-27	151107	165576	121249
2015-03-30	133932	144581	106483
2015-03-31	132457	155991	102294
2015-04-01	135673	160602	112163
2015-04-02	124978	144769	112072
2015-04-03	76996	98815	63211
2015-04-06	79737	81713	54401
2015-04-07	129083	147559	110560
2015-04-08	138672	148288	116403
2015-04-09	128113	138279	105303
2015-04-10	126858	140831	96442
2015-04-13	129862	138422	104833
2015-04-14	137335	154518	117029
2015-04-15	151568	156102	123047
2015-04-16	191702	182661	149810
2015-04-17	162976	158774	133063
2015-04-20	130689	144421	114712
2015-04-21	146224	165427	136531
2015-04-22	152265	180461	147491
2015-04-23	164910	176784	163324
2015-04-24	164041	170483	143998
2015-04-27	142430	161001	137934
2015-04-28	163286	182213	160783
2015-04-29	190432	213078	186253
2015-04-30	222223	236401	199284
2015-05-01	156867	170352	140119
2015-05-04	116478	137846	90997
2015-05-05	85076	97634	76077
2015-05-06	116447	126776	100263
2015-05-07	108194	107593	79981
2015-05-08	110291	135935	80481
2015-05-11	109990	137753	100642
2015-05-12	168184	175810	136656
2015-05-13	150895	155635	145585
2015-05-14	173585	163676	164061
2015-05-15	143754	154467	125222
2015-05-18	111611	143238	106197
2015-05-19	179023	188116	152643
2015-05-20	193881	210899	168962
2015-05-21	175343	192023	151860
2015-05-22	169072	187123	150103
2015-05-25	95054	119365	99095
2015-05-26	181897	196824	147345
2015-05-27	172422	189740	151561
2015-05-28	188559	194321	183811
2015-05-29	167109	178045	156888
2015-06-01	185324	196593	142655
2015-06-02	264689	249203	218138
2015-06-03	174235	166129	156574
2015-06-04	138418	120896	88012
2015-06-05	260957	252635	185716
2015-06-08	217138	207520	152430
2015-06-09	241538	240094	176103
